transaction_id,account_code,transaction_date,period,vendor,invoice_number,description,actual_amount,gl_posted_amount,currency,error_type
TXN-2512-001,2000,2025-12-02,2025-12,Alpha Suppliers,INV-50001,Raw materials purchase,125000.00,125000.00,USD,CORRECT
TXN-2512-003,2000,2025-12-05,2025-12,Beta Manufacturing,INV-60234,Components,245000.00,245000.00,USD,CORRECT
TXN-2512-007,2000,2025-12-10,2025-12,Gamma Industries,INV-70456,Equipment,149500.00,100000.00,USD,DATA_ENTRY_ERROR
TXN-2512-010,2000,2025-12-15,2025-12,Delta Logistics,INV-80567,Freight services,178000.00,178000.00,USD,CORRECT
TXN-2512-014,2000,2025-12-20,2025-12,Epsilon Tech,INV-90678,IT hardware,197000.00,197000.00,USD,CORRECT
TXN-2512-020,1400,2025-12-03,2025-12,Warehouse A,INV-RCV-001,Inventory receipt,234000.00,234000.00,USD,CORRECT
TXN-2512-022,1400,2025-12-10,2025-12,Warehouse B,INV-RCV-002,Inventory receipt,178000.00,178000.00,USD,CORRECT
TXN-2512-024,1400,2025-12-18,2025-12,Warehouse C,INV-RCV-003,Inventory receipt,155000.00,155000.00,USD,CORRECT
TXN-2512-030,6000,2025-12-05,2025-12,Office Supplies Plus,INV-OS-1201,Office supplies,12500.00,12500.00,USD,CORRECT
TXN-2512-032,6000,2025-12-08,2025-12,Utility Company,INV-UTIL-DEC,Utilities December,45000.00,45000.00,USD,CORRECT
TXN-2512-034,6000,2025-12-12,2025-12,Marketing Agency,INV-MKT-4501,Digital marketing,67500.00,34000.00,USD,DATA_ENTRY_ERROR
TXN-2512-036,6000,2025-12-18,2025-12,Legal Services,INV-LEG-8901,Legal fees,58000.00,58000.00,USD,CORRECT
TXN-2512-038,6000,2025-12-22,2025-12,Insurance Corp,INV-INS-2025,Annual insurance,84500.00,84500.00,USD,CORRECT
